7500

Type     Data       Time        To        Amount        Balance 
----------------------------------------------------------------
tran    26/01/24    19:11:52    random     -20000       7500  
depo    26/01/24    19:11:52    NA         +25000       27500 
with    26/01/24    19:11:52    NA         -50000       2500  
depo    26/01/24    19:11:52    NA         +5000        52500 
depo    26/01/24    18:59:56    NA         +50000       47500 
tran    26/01/24    18:59:56    some       -50000       -2500 
depo    26/01/24    18:59:56    NA         +10000       47500 
with    26/01/24    18:59:56    NA         -5000        37500 
tran    26/01/24    18:52:12    name       -12000       42500 
depo    26/01/24    18:52:12    NA         +10000       54500 
with    26/01/24    18:52:12    NA         -500         44500 
tran    25/01/24    17:19:14    didi       -5000        45000 
with    25/01/24    17:19:14    NA         -6000        50000 
depo    25/01/24    17:19:14    NA         +7000        56000 
tran    25/01/24    16:57:22    pra        -500         49000
tran    18/01/23    08:25:40    prasad     -500         49500
depo    18/01/23    08:20:40    NA         +500         50000
